districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA7,86.66237,0,1961,11394,3295,0.5107952,78.99212,0.08,14153
MA8,79.72589,0,3005,25886,6967,0.4683613,66.16979,0.07,30830
MA7,79.72589,0,3005,25886,6967,0.4683613,66.16979,0.07,30830
MA8,68.38831,0,4754,21956,7667,0.315859,69.55909,0.11,24622
MA7,68.38831,0,4754,21956,7667,0.315859,69.55909,0.11,24622
MA8,86.43726,0,1998,18355,6131,0.4325797,91.70853,0.07,22239
MA7,86.43726,0,1998,18355,6131,0.4325797,91.70853,0.07,22239
MA7,73.2508,0,4004,11721,2859,0.4891221,48.26352,0.07,19122
MA7,85.06275,0,2206,29568,7165,0.5492762,66.88113,0.05,37402
MA7,53.20389,0,7520,18617,6996,0.2157705,64.80727,0.11,23386
MA8,53.20389,0,7520,18617,6996,0.2157705,64.80727,0.11,23386
MA5,97.97018,1,347,21761,5631,0.7923809,110.334,0.06,30851
MA7,97.97018,1,347,21761,5631,0.7923809,110.334,0.06,30851
MA5,88.00108,0,1787,22304,5815,0.6274211,63.56113,0.06,31582
MA7,88.00108,0,1787,22304,5815,0.6274211,63.56113,0.06,31582
MA7,90.56548,0,1430,12455,3577,0.6085106,76.89865,0.08,15581
MA5,90.56548,0,1430,12455,3577,0.6085106,76.89865,0.08,15581
